audio_file,language,filter_method,sensitive_words_count,audio_duration,total_time,real_time_factor,memory_used,segments_count,filtered_words_count,success,test_case,word_set,length_category
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,replace,10,300.32,38.77021837234497,0.12909635845879386,-17.6796875,147,19,True,word_set_size,medium,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,regular_expression,10,300.32,36.48302245140076,0.12148049564265037,11.11328125,147,19,True,word_set_size,medium,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,DFA,50,300.32,36.0501184463501,0.12003901986664257,-7.77734375,147,24,True,word_set_size,large,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,aho_corasick,50,300.32,36.179444789886475,0.12046964834139076,43.9765625,147,24,True,word_set_size,large,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,trie_tree,50,300.32,36.11986756324768,0.1202712691903559,-1.6015625,147,24,True,word_set_size,large,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,replace,50,300.32,36.2251181602478,0.12062173068809205,-7.37109375,147,24,True,word_set_size,large,
【课外侦探组1】第12章，校运会上的重大发现_1.mp3,zh,regular_expression,50,300.32,35.93761348724365,0.1196644029276893,-20.76171875,147,24,True,word_set_size,large,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,DFA,3,319.54,43.20131158828735,0.13519844648021329,15.41796875,153,36,True,word_set_size,small,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,aho_corasick,3,319.54,43.171295166015625,0.13510451012710653,-7.66015625,153,36,True,word_set_size,small,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,trie_tree,3,319.54,43.179097175598145,0.135128926505596,-1.53515625,153,36,True,word_set_size,small,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,replace,3,319.54,42.99734330177307,0.13456012800204378,7.09765625,153,36,True,word_set_size,small,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,regular_expression,3,319.54,43.83450698852539,0.13718003063317702,15.76953125,153,36,True,word_set_size,small,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,DFA,10,319.54,43.179564476013184,0.13513038892161602,-47.71484375,153,41,True,word_set_size,medium,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,aho_corasick,10,319.54,43.146726846694946,0.13502762360485368,31.625,153,41,True,word_set_size,medium,
【课外侦探组1】第12章，校运会上的重大发现_2.mp3,zh,trie_tree,10,319.54,42.947426557540894,0.13440391361814136,-0.73046875,153,41,True,word_set_size,medium,
